asset_code,serial_number,brand,model,asset_type,category,purchase_date,purchase_price,invoice_number,invoice_date,invoice_url,vendor_name_manual,warranty_months,warranty_expiry,condition,status,capacity_value,capacity_unit,apartment_code,notes
VH-IS-C42-0001,BB03KC1376A4083,Impex,Omega H2a,Induction Stove,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-C42-0001,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-C42-0002,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,new,allocated,null,null,null,null
VH-MA-C42-0003,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-C42-0004,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MA-C42-0005,null,null,null,Mattress,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-MW-C42-0001,306NMVJ019671,LG,MS2043DB.DB1QILN,Microwave Oven,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RF-C42-0001,null,Godrej,RD EDGE 205 TRF 2.2/2019,Refrigerator,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-RO-C42-0001,null,hindustan unilever Pure,null,RO Water Purifier,Kitchen & Dining,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SS-C42-0001,null,null,null,Shoe Stand,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-SF-C42-0001,null,null,null,Sofa,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-C42-0001,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-C42-0002,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-ST-C42-0003,null,null,null,Study Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-TV-C42-0001,null,null,null,TV,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WM-C42-0001,03WH5PBMA03651T,Samsung,WA60M4100HY 01/ TL,Washing Machine,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-WH-C42-0001,19090038606689,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-WH-C42-0002,19090038607037,Venus,3P30,Water Heater,Electrical Systems,null,null,null,null,null,null,null,null,good,allocated,3 lites / 3000 W/230v,null,null,null
VH-AC-C43-0001,SE190Q15753,Hitachi,RSG312HCDOBW,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-C43-0002,SE190Q15742,Hitachi,RSG312HCD0BW,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-AC-C43-0003,SE190Q29493,Hitachi,RSG312HCDOBW,Air Conditioner,Appliances,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-C43-0001,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-BS-C43-0002,null,null,null,Bedside Table,Soft Furnishing,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-C43-0001,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-C43-0002,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CH-C43-0003,null,null,null,Chair,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-C43-0001,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-C43-0002,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-C43-0003,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-C43-0004,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CO-C43-0005,null,null,null,Cot (Bed Frame),Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-C43-0001,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-C43-0002,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-C43-0003,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-C43-0004,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-CB-C43-0005,null,null,null,Cupboard,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
VH-DT-C43-0001,null,null,null,Dining Table,Furniture,null,null,null,null,null,null,null,null,good,allocated,null,null,null,null
