,0
rev_lag12,0.26690513763379053
rev_lag1,0.11989686559757318
move_ins_lag1,0.06536337191447186
occupancy_pct_lag1,0.06352189173842425
move_outs_lag1,0.05505442100942344
tenants_lag1,0.05174639431090643
year,0.03233430442175572
avg_monthly_rental_lag1,0.02258229165657416
active_tenants_occ_lag1,0.021046684683503535
rev_lag3,0.017264285472814965
rev_roll3_lag,0.005859845144175912
rev_lag2,0.0032059618719566417
month_num,0.0015783773463264096
notice_count_lag1,0.0007836669412076613
new_bookings_lag1,-7.32699892193045e-06
