billing_period,actual,predicted
2026-02,165.0,171.65184171396785
2026-03,167.0,171.201581019665
2026-04,172.0,172.24340259321636
2026-05,184.0,175.2863963756927
2026-06,185.0,184.71696844226676
2026-07,184.0,186.3316413119972
