billing_period,actual,predicted
2026-02,2743173.0,2745685.076774921
2026-03,2865242.0,2920743.1106286123
2026-04,2951783.0,3094277.3077889946
2026-05,3236484.0,3087314.362405156
2026-06,3349991.0,3273583.0902895737
2026-07,3253362.0,3348171.0888591157
